id,uuid,question,answer,category,keywords,tags,intent_type,role_type,priority,has_embedding_json,created_at
29,f6267b0f-3759-40e8-a9e2-80fd0becb8e8,What happens when a new lead sends a message after business hours?,"The agent should reply immediately with a professional acknowledgment, answer basic questions if possible, collect essential details, and offer the next available consultation slot or booking link. If the request sounds urgent or high-value, it should flag the conversation for human review the next business day.",client_communication,"[""after hours"", ""response time"", ""new lead"", ""business hours""]","[""communication"", ""automation"", ""sla""]",inbound_response,lead,10,True,2026-03-26T10:02:06.837747
30,508d149f-6361-4ed9-bfee-a31a8b87cec6,Can the AI answer common client questions automatically?,"Yes. The agent should handle repetitive questions about services, process, timelines, pricing ranges, consultation steps, and next actions. For anything unclear, high-risk, or highly customized, it should move the conversation to a human instead of guessing.",client_communication,"[""faq"", ""common questions"", ""services"", ""pricing"", ""timeline""]","[""communication"", ""faq""]",faq_response,lead,10,True,2026-03-26T10:02:14.615972
31,42f80a26-748d-4802-97ac-7f81f6ddcf3e,When should the AI escalate a conversation to a human?,"The AI should escalate when a lead requests a custom quote, asks legal or contract-related questions, shows frustration, asks for exceptions, mentions a large budget or urgent timeline, or when the message is ambiguous enough that a wrong reply could hurt trust.",escalation,"[""escalate"", ""human handoff"", ""urgent"", ""custom quote"", ""complaint""]","[""handoff"", ""risk""]",escalation_rule,lead,10,True,2026-03-26T10:02:18.397625
32,b5982669-daee-42e0-a6fc-7e2686c2c972,How should the AI handle angry or frustrated messages?,"The agent should acknowledge the concern, avoid sounding defensive, offer a simple next step, and notify a human owner immediately. In sensitive situations, speed matters more than automation, so the goal is de-escalation and a fast human follow-up.",client_communication,"[""angry"", ""frustrated"", ""complaint"", ""upset""]","[""communication"", ""support""]",sentiment_response,client,9,True,2026-03-26T10:02:23.415191
33,140198d4-3367-42ea-ba0e-89b8438d8bc1,Can the AI confirm meetings and send reminders?,"Yes. Once a booking is created, the system should confirm the appointment, restate the date and time, clarify what will be discussed, and send reminders before the call to reduce no-shows.",booking,"[""confirm meeting"", ""reminders"", ""appointment"", ""no show""]","[""booking"", ""automation""]",booking_confirmation,lead,9,True,2026-03-26T10:02:27.181587
34,24d9ce5e-198f-45a2-b261-ee8b3033d097,What should the AI say when it does not know the answer?,"It should avoid making assumptions. A safe reply is to acknowledge the question, state that a specialist will confirm the best answer, and offer the next step such as a follow-up email or consultation booking.",client_communication,"[""don't know"", ""unknown answer"", ""fallback""]","[""guardrails"", ""communication""]",fallback_response,lead,10,True,2026-03-26T10:02:31.417362
35,a7811adc-2cb7-412f-9ae0-9df992cfac56,How quickly should the AI respond to new inquiries?,"For lead capture, the target should be immediate acknowledgment within seconds and a useful follow-up in the same interaction. Fast first response improves conversion, even if a human follows later for the detailed discussion.",client_communication,"[""response time"", ""sla"", ""first response""]","[""communication"", ""conversion""]",sla_question,lead,8,True,2026-03-26T10:02:35.088797
36,4c4485c2-f850-4cd5-b0d4-4d63d3eaee50,Can the AI collect missing information before a human steps in?,"Yes. The agent should gather essentials like service needed, project type, timeline, budget range, business type, and preferred contact method so the human team receives a qualified conversation instead of a cold lead.",lead_qualification,"[""collect info"", ""qualification"", ""intake"", ""missing information""]","[""qualification"", ""intake""]",qualification_intake,lead,10,True,2026-03-26T10:02:40.544894
37,a9b13328-4798-4433-bbfd-4edc79728447,How should the AI route high-value leads?,"High-value leads should be tagged based on budget range, urgency, business fit, and buying intent. They should be moved to a priority pipeline stage, assigned to a human quickly, and given faster follow-up windows.",lead_qualification,"[""high value lead"", ""priority"", ""hot lead"", ""scoring""]","[""qualification"", ""scoring""]",lead_scoring,lead,10,True,2026-03-26T10:02:44.105523
38,89400049-34bc-499a-95b5-06e14f9a2367,What channels should the AI support first?,"Start with the channels where your inbound and follow-up volume is highest, usually website chat, email, SMS, and calendar booking. Add more channels after the core flows are stable and measurable.",system_strategy,"[""channels"", ""email"", ""sms"", ""website chat""]","[""strategy"", ""operations""]",channel_strategy,internal,7,True,2026-03-26T10:02:48.631702
39,82d4843c-b4a4-4be8-b87f-844ed3d00a4a,What questions should the AI ask a new lead first?,"Start with the minimum needed to qualify without creating friction: what they need help with, whether they need a website, app, automation, or AI solution, target timeline, rough budget, and whether they are the decision-maker.",lead_qualification,"[""qualifying questions"", ""new lead"", ""first questions""]","[""qualification""]",qualification_question,lead,10,True,2026-03-26T10:02:51.687524
